label,tweet
sadness,dulu saya buat pacaran  isinya foto  selfie dan aktivitas pacar  penunjang ldr   sekarang pacarnya hilang  foto foto diganti sama foto pencitraan orang kerja di lapangan dan preview desain   
sadness,apa bedanya dirimu yang selalu berdiam berlama  pergi jauh  dan mengabaikan saat permasalahan datang  dengan pernyataan ku yang mengakhiri   thinkifyouhavebrain
love,karena cinta yang sesungguhnya berasal dari hati   di rasakan oleh hati   di ungkapkan lewat hati yang di terjemahkan ke dalam setiap bait bait puisi  
happy,terima kasih yak buat kakak  dijakarta n surabaya yang sudah luangin waktunya buat meetup   hehehehee   so sekarang saatnya off   sampai ketemu akhir bulan ya di balikpapan dan denpasar    gbu all
sadness,sebagai manusia saya bisa saja salah saat melihat manusia lain  saya cuma sedang melihat diriku sendiri sebenernya  jadi saya minta maaf ya shan  seperti yang biasa saya lakukan
happy,oke terima kasih   
fear,gempa di lombok belum berhenti  setidaknya sudah dua ratusan lebih terjadi gempa susulan sejak pagi kemarin  terus saya bayangin gimana rasanya jadi rangorang yang ada di sana sekarang  pasti tidak nyenyak tidurnya karena cemas 
love,cinta sejati adalah ketika dia mencintai orang lain  dan kamu masih mampu tersenyum  sambil berkata  saya turut bahagia untukmu  jika kita mencintai seseorang     
happy,angka    akan segera digantikan dengan angka baru  welcome   th  semoga angka angka yang sudah berlalu dan yang akan berlalu menjadi cermin dan pelajaran yang baik untuk menyongsong masa depan yang lebih baik  berharap kebahagiaan dan kedamaian menyertai angka baru ini
happy,tranquility base hotel   casino   arctic monkeys        hampir serupa sama album am yang kemaren  lagu nya intimidating sama seducing tapi yang sekarang vibe nya   s italian vampire gangster wkwk  saya suka four out of five  batphone  sama golden trunks
anger,yaelahh anda pasti dari partai sapi   kurang kelon anda   junjungan anda kaga punya nyali kalah sama ahok berani hadapi kasus  lebaran telah tiba jik  pulanglah    atau kaga ada peler
happy,empat negara tersisa di perhelatan turnamen akbar memiliki taktik kunci masing masing  jamak yang berharap ada juara baru di fifa world cup       terutama belgia yang dianggap sebagai tim percontohan bonus demografi  dan  saya hanya ingin ucapkan selamat pada pep  itu saja 
anger,ini kalau kita yang pose dengan atribut demikian bakal di laknat se indonesia di kata komunis liberal antek aseng cc
happy,hehe  yamungkin memang tidak kerasa karena sudah kek thanos benar   punya   batu cincin makasih looo sudah diucapin sahur
sadness,ternyata saya masih terjebak di ujian yang sama  ujian merindukanmu yang bukan siapa   kerinduan yang menguji karena tak bisa bertindak apa   perlu kamu tau  dalam hal ini  yg ku maksud kamu  cukup menguras hati
sadness,ketika di group keluarga sudah pada membicarakan mudik  duuh ingin mudik  tapi apa daya suami libur cuma   hari dari hari h lebaran  itu juga kalau tidak di telepon disuruh masuk    tahun lalu malah habis sholat eid langsung kerja
happy,pembayaran upah pkt ds madurejo pasirian lumajang  masy tersenyum bahagia  padatkaryatunai   tppijatim  tppilumajang
happy,hari ini saya begitu menikmati sendiriku dengan maraton drakor  dan  about time  ini mengajariku gimana caranya di sisa hidup kalian bisa menghargai bagian bagian terkecil yang sering kalian tidak sadari telah kalian acuhkan  orang yang kalian sayang contohnya   
happy,di hari ini  ya tepat di tanggal    juli dimana mungkin di hari ini saya merasa sangatsangat special   makasih mamih  makasih uwa  makasih kakek  makasih
sadness,iphone   plus  tiba tiba restart sendiri  terus kadang kadang bootloop tidak masuk ke system   dimatikan agak lama  baru kadang bisa masuk system  kenapa bruh
happy,sukadeh sama teman yang ngetweet konten  yang  berwawasan    apalagi di dunia nyata bisa share ilmu    jadi nyinyiran   kritikan bisa lebih bermanfaat   apalagi kalau nyambung ngomongnya    tidak cuma bahas lamtur   lipen saja
anger,pak   ini asli loh pak bukan editan         om sesekali dong kupas persoalan di wilayah kami kok bisa bisa nya hukum dan keselamatan warga parungpanjang di nomor sekiankan   siapa sih om yang bermain di sini   
happy,dulu mah kalau mau sms dosen kudu sekali memikirkan kata kata biar sopan takut salah ngomong  pas sudah lulus mah sudah kaya teman saja sih wkwkw gimana ketua kelas
sadness,kita tidak bisa mengatur otak orang  menjaga hati orang  disaat ada yang berniat menghasut orang untuk membenci kita  dan berhasil  ya sudah  terima saja kalau yang terhasut tidak layak untuk lebih lama jadi teman
anger,bullshit  mereka semua   rakyat yang akan sebagai  penentu   nasib  indonesia bukan pada para tokoh  elit maupun tokoh  parpol tapi ada pada kekuatan rakyat
love,ibarat saya datang baik dengan buku dan pulpen  saya keluar hanya membawa buku itu saja  lantas pulpen itu saya tinggalkan dengan dirinya untuk dijadikan alat tulis baru dirinya dengan yang akan datang untuk bertamu di hari nanti 
happy,saya bikin charity free iftar in the hospital bareng teman teman alumni al azhar menganti  gresik   gerakan kasih menu buka puasa bt keluarga pasien di rumah sakit  kita tambahin dengan senyum dan saling doain sesuai kewajiban kita sebagai muslim    masih terima donasi ya  rek 
happy,wuih cadassss  teman kantor yang odp hari ini  sudah terbebas dari denda ikatan dinas   tahunnya  mantap kali kita harus nunggu tahun depan
love,adalah bapak yang setia mendampingi ibu  adalah bapak yang terus berusaha melucu bikin ibu ketawa  adalah bapak yang masih menganggap anak    tahun ini masih kecil  adalah bapak yang paling cemburu ketika ada laki  datang ke gadisnya  luar biasa ya  cinta sekali  bapak
sadness,kenapa sekarang bisa beda sekali sama pas sma ya di tanah rantau benar benar sadar kalau tidak semua orang itu bahagia gak semua orang itu tulus
love,kan kupeluk engkau erat  hingga tak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary sayang   nov    months
