label,tweet
fear,takut takut nanti kalau diputuskan bagaimana kalau diselingkuhin bagaimana kalau diporotin bagaimana kalau bahkan diajak ke kua bagaimana giman bagaimana iya pokok nya banyak lah ketakutan ketakutan lainnya
happy,sempat kali tahun kemarin main kejakarta hanya lewat tidak sempat sholat disini sekarang alhamdulillah dapat kesempatan hari ini ada yang tahu kah daerah masjid istiqlal tempat makan enak
anger,min saya mengajukan npwp online kali berturut kok ditolak dengan alasan sama ya upload ktp gagal padahal waktu upload ktp sebelum kirim formuli sudah berhasil
anger,suka tidak habis pikir sama orang yang mengatai musibah ketika menimpa orang lain dianggap azab tapi ktk menimpa golongannya disebut cobaan ingin ku misuh matane
sadness,yang paling ngenes ketika sampai parkir stasiun lalu krl arah yang saya tuju datang tapi karena jarak parkir stasiun ke krl perlu waktu menit alhasil ketinggalan kereta
happy,hahaha sama saya begitu ngliat oppa kore langsung ingin belajar korea menonton drama barat langsung ingin bisa lncr english ngliat bny sama mewart langsung ingin belajar bhsa thai wkwkwlw
sadness,sudah dipaksa tapi saya bukan anak gem satu satunya yang ku bisa hanyalah candy crush daripada mabar cuma dibentakin karena bodoh
love,park woojin harus disayang dicintai diapresiasi diberi makanan enak diberi pelukan hangat diberi kopi panas atau cokelat panas terserah dia deh yang penting dia bahagia pokoknya intinya adalah park woojin harus dibuat bahagia
fear,eh asli iya saya sudah menonton memang seram sangat sih aslinya tuh dia tidak mau ngebunuh dia hanya lagi jatuh cinta saja tapi sampai akhir dia tidak tahu kalau ketidaktahuannya dia itu berubah jadi malapetaka horor woy
love,kok tidak ada tempat dulu lagi sih yauda kamu duduk di pangkuan saya saja ah saya malu ini kan tempat ramai sudah tidak apa apa kok tarik tangannya sudah begini saja dari pada kamu diri diri kan ih kok kamu mengesalkan yang penting saya sayang
happy,dibales dengan sangat ramah bonjour bintang boleh banget besok di gedung iya a demain dengan senyuman khasnya besoknya sembari degdegan sudah mirip mau bimbingan skripsi padahal masih semester ii ketemu dan langsung saya tunjukkan ppt ku
fear,sama seperti yazidi bila negara yahudi tidak memperkuat dirinya pilihan itu ganti agama dibunuh diperbudak atau tersingkir maka penting bagi yahudi memperkuat dirinya suka atau tidak ini survival bagi mereka tapi mereka tidak
anger,bag pecaatt demi sayang anak apapun mesti dilakukan demi kelanggengan trah turunan apapun mesti dikorbankan sayang anak sayang anak
happy,gurindam karya raja ali haji sudah saya baca dari sd jadi bacaan saat belajar arab melayu ini fenomenal serius harus coba baca seluruhnya
anger,daripada keseel saja memikirkan omongan ibu saya kemarin entar mau santai saja tenangin otak ngadem lama nongki di buku balkot saja sudah sampai sore
fear,saya takut dengan semua bunda apa ya bakal terjadi apa ya tengah tjadi kat sekeliling aku saya takut dengan diri sendiri hate this feeling just wanna die rn fml
anger,apakah anda setuju adalah partai tong kosong nyaring bunyinya berisik tapi miskin manfaat yang setuju rt gantipresiden
sadness,sebenarnya badan ini kurang sehat dibawa makan susah keringet dingin dari pagi tapi dibawa sehat untuk di bawel apalagi ada acha karena janji sudah lama sudah ke toilet kali ditahan kalau tidak ditahan bakal lebih h
happy,esbuah ribu bolak balik gojek ribu beli es buah ribu jadi ribu worth itu lah asli daripada dikota yang jual ceban saja sudah jarang parah wkwkwk
love,somi terima oppa apa adanya kok tenang saja mau norak nge drama jungkir balik juga kalau sudah sayang mau bagaimana
sadness,ini kayak saya kapan hari itu seharian mantengin asian food channel ngliatin makan sodap e sendirinya makan indomie sama ngemil kerupuk gegara malas keluar kos
happy,semoga husnul khotimah di a untuk saudara kita ali banat dan saudari kita razan an najjar dalam memperjuangkan agama allah surga menanti freepalestine deenassalam
love,tidak pernah se jatuh cinta mirip begini sama orang berawal dari tokoh cerita di wattpad dengan penggambaran seseorang yang plek ketiplek sama dan itu makin buat saya jatuh cinta
happy,selamat sore raper tampan
anger,ketika kamu menganggap sexual harrassment itu wajar berarti kamu l nte alias kamu senang kalau ada yang ngelecehin kamu via vallen speak up itu sudah tindakan yang paling benar menurut gue sebagai warning ke laki lain tidak semua cewek bisa diperlakukan begitu speakup timesup
happy,uns universitas negeri surakarta yang mendaftar kampusnya cuma butuh kamu yang keterima selamat sudah mengalahkan sekian ribu orang
sadness,iya tidak semua sih banyak juga yang serius tapi iya begitu mungkin anda belum ketemu mungkin ketemu tapi karena terlalu lalma kena modus jadi too sensitive dan melewatinya begitu
happy,jangan pernah bosan menunggu selama dalam menunggu itu di jalan allah allah pasti akan memberikan kejutan yang tidak pernah kamu bayangkan
sadness,iya masalah dia mau masuk partai penista agama itu hak pilihan dia yang di sayang kan sbaik nya tidak perlu membawa bawa nama allah dan membawa bawa nama harus untuk ke pentingan pribadi
fear,waktu sd ba dah isya pulang mengaji berlima sama teman teman dipertigaan tiba tiba ada ibu ibu pakai baju putih panjang mukanya ketutupan rambut panjang dan lagi gendong bayi mau disamperin pas sudah setengah jalan kita balik lagi karena takut ag
fear,banyak hal yang membuat ku khawatir didunia ini tapi kamulah yang paling saya khawatirkan
love,bagaimana bunda tidak sayang kamu anak kalau kamu semanis ini nanti muncul di mimpi bunda iya bunda senang dipanggil sama kamu dan cerita cerita sama kamu anak
love,itu kenapa saya lebih sayang internet friends mereka yang lebih peduli bahkan mereka yang selalu cheer up pas saya down ketikan mereka yang bikin mood saya bangkit mereka yang bisa bikin saya tertawa cuma lewat layar hp i don t deserve them but i cinta them sama
love,menurut kamu relationship goals itu yang kayak bagaimana sih tbh iya yang bagaimana iya yang selalu saling each other saja saling cinta saling sayang saling kompromi ngehargai saling butuh saling paham saling ngelindungin dan saling saling yang lainnya
sadness,astaga baru bbrapa minggu tidak ada kabar kalian bareng event begitu kok iya kangen miss you sok much teman-teman
